IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
38.47.121.241,31981,TRUE,NRT,JP,Asia Pacific,Tokyo,49901,Kuiper Network Ltd,474,6.55
43.153.181.217,443,TRUE,NRT,JP,Asia Pacific,Tokyo,132203,"Tencent Building, Kejizhongyi Avenue",549,5.70
220.81.132.214,29798,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,488,4.52
54.92.17.121,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,843,4.25
211.192.158.219,10122,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,448,4.17
111.65.150.65,30032,TRUE,NRT,JP,Asia Pacific,Tokyo,17573,SK Broadband Co Ltd,379,4.08
211.195.68.80,12290,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,543,3.95
138.2.18.184,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,678,3.13
130.162.140.215,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,346,2.86
220.86.191.246,12391,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,516,2.63
14.39.251.200,12442,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,438,2.02
220.81.178.30,12306,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,578,1.92
61.77.9.219,12503,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,518,1.50
152.70.245.66,12693,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,859,1.49
140.238.8.194,15800,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,461,1.12
20.78.32.117,38323,TRUE,NRT,JP,Asia Pacific,Tokyo,8075,MICROSOFT-CORP-MSN-AS-BLOCK,395,1.11
152.70.234.188,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,728,1.07
211.75.243.91,16764,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,503,0.88
176.119.149.243,3000,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,"xTom Japan Co., Ltd.",316,0.84
218.50.51.32,12379,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,385,0.79
61.77.9.219,12487,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,518,0.75
140.238.20.223,35913,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,448,0.72
129.154.223.89,15800,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,461,0.55
146.56.171.182,11659,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,448,0.42
103.170.233.160,4308,TRUE,NRT,JP,Asia Pacific,Tokyo,142616,"Misaka Network, Inc.",254,0.36
141.147.183.49,29876,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,474,0.13
141.164.51.185,443,TRUE,ICN,KR,Asia Pacific,Seoul,20473,AS-CHOOPA,762,0.09
172.84.92.152,58723,TRUE,NRT,JP,Asia Pacific,Tokyo,11161,DIGITALVIRT,341,0.09
45.77.130.245,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,502,0.08
47.245.40.89,5003,TRUE,NRT,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",416,0.06
45.32.25.171,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,501,0.05
150.230.204.21,10243,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,504,0.04
132.145.127.203,2053,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,500,0.02
107.191.60.177,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,459,0.02
