IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
211.208.119.141,30029,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,242,7.08
175.125.207.253,12498,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,471,6.88
211.248.216.119,30009,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,340,6.83
125.133.233.48,30087,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,290,6.43
220.122.69.165,17771,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,325,6.38
175.125.207.253,24181,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,429,6.13
218.156.188.51,10230,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,377,5.93
175.125.207.253,21306,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,270,5.90
175.125.207.253,30312,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,271,5.78
175.125.207.253,10002,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,426,5.65
218.156.14.104,12320,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,347,5.54
222.104.195.186,18108,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,601,5.50
121.151.223.104,12576,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,459,5.48
61.81.112.29,18245,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,342,5.47
222.108.18.150,19013,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,249,5.42
112.161.97.22,18264,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,597,5.40
121.140.9.141,12328,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,342,5.39
175.212.174.186,18037,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,339,5.37
222.119.56.43,10380,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,265,5.35
175.112.2.137,30060,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,265,5.34
175.125.207.253,12506,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,436,5.28
121.153.248.205,11084,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,420,5.25
218.50.84.73,12232,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,260,5.00
