IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
52.193.4.149,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,213,32.37
152.70.245.66,12693,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,320,8.85
13.230.34.30,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,231,8.23
176.119.149.243,3000,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,"xTom Japan Co., Ltd.",287,4.98
52.197.230.94,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,276,3.15
3.112.21.102,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,298,2.99
146.56.44.85,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,345,2.57
220.81.178.30,12306,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,372,1.92
146.56.46.84,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,380,1.84
20.78.32.117,38323,TRUE,NRT,JP,Asia Pacific,Tokyo,8075,MICROSOFT-CORP-MSN-AS-BLOCK,655,1.39
146.56.144.32,11202,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,395,1.33
38.47.121.241,31981,TRUE,NRT,JP,Asia Pacific,Tokyo,49901,Kuiper Network Ltd,376,1.16
45.77.14.128,2087,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,856,0.96
47.245.40.89,5003,TRUE,NRT,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",417,0.95
14.39.251.200,12442,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,298,0.86
211.192.158.219,10122,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,290,0.83
168.138.213.1,50003,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,392,0.76
129.154.223.89,15800,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,325,0.57
131.186.62.248,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,403,0.49
138.2.18.184,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,274,0.41
220.81.132.214,29798,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,391,0.37
140.238.50.112,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,399,0.29
140.238.33.161,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,382,0.26
121.162.197.175,10103,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,615,0.24
45.32.25.171,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,369,0.23
141.147.183.49,29876,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,755,0.21
154.16.55.129,443,TRUE,NRT,JP,Asia Pacific,Tokyo,61112,AKILE LTD,764,0.20
211.75.243.91,16764,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,367,0.19
140.238.12.52,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,390,0.16
139.224.43.79,443,TRUE,NRT,JP,Asia Pacific,Tokyo,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",369,0.16
58.145.73.59,12322,TRUE,NRT,JP,Asia Pacific,Tokyo,9689,SK Broadband Co Ltd,346,0.14
211.195.68.80,12290,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,319,0.11
152.70.234.188,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,361,0.10
152.69.205.37,54322,TRUE,KIX,JP,Asia Pacific,Osaka,31898,ORACLE-BMC-31898,576,0.10
158.101.154.245,47001,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,416,0.09
146.56.171.182,11659,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,372,0.06
150.230.221.148,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,752,0.05
61.77.9.219,12487,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,426,0.05
149.28.22.198,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,381,0.04
45.76.220.61,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,880,0.04
45.76.198.248,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,404,0.03
150.230.204.21,10243,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,395,0.03
140.238.8.194,15800,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,399,0.02
132.145.127.203,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,402,0.01
